,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,id,question,answer,encoded
0,0,0,0,0,N9KNS.mp4,How many times did the Person looking_at the closet/cabinet?,3,"[array([2, 3, 4, 5, 1, 6, 7, 1, 8, 0]) 9]"
1,1,1,1,1,YT2C3.mp4,How many times did the Person looking_at the table?,0,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
2,2,2,2,2,OQ9W3.mp4,How many times did the Person looking_at the table?,0,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
3,3,3,3,3,VQOI3.mp4,How many times did the Person looking_at the laptop?,3,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 10,  0]) 9]"
4,4,4,4,4,Y3AQ4.mp4,How many times did the Person looking_at the table?,0,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
5,5,5,5,5,YIIFF.mp4,How many times did the Person looking_at the closet/cabinet?,1,"[array([2, 3, 4, 5, 1, 6, 7, 1, 8, 0]) 9]"
6,6,6,6,6,S4P5J.mp4,How many times did the Person looking_at the food?,11,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
7,7,7,7,7,W8CWW.mp4,How many times did the Person looking_at the table?,0,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
8,8,8,8,8,PZNVV.mp4,How many times did the Person looking_at the table?,2,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
9,9,9,9,9,T7HZB.mp4,How many times did the Person looking_at the table?,0,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
10,10,10,10,10,W5YUE.mp4,How many times did the Person looking_at the blanket?,2,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 12,  0]) 9]"
11,11,11,11,11,YFJ9U.mp4,How many times did the Person looking_at the pillow?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 13,  0]) 9]"
12,12,12,12,12,RT1JY.mp4,How many times did the Person looking_at the sofa/couch?,2,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 14,  0]) 9]"
13,13,13,13,13,WISO0.mp4,How many times did the Person looking_at the sofa/couch?,2,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 14,  0]) 9]"
14,14,14,14,14,TZEIN.mp4,How many times did the Person looking_at the cup/glass/bottle?,1,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 15,  0]) 9]"
15,15,15,15,15,UZ2AL.mp4,How many times did the Person looking_at the food?,2,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
16,16,16,16,16,UZOCD.mp4,How many times did the Person looking_at the broom?,1,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 16,  0]) 9]"
17,17,17,17,17,YONR1.mp4,How many times did the Person looking_at the book?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 17,  0]) 9]"
18,18,18,18,18,N56QO.mp4,How many times did the Person looking_at the table?,1,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
19,19,19,19,19,SROEU.mp4,How many times did the Person looking_at the closet/cabinet?,2,"[array([2, 3, 4, 5, 1, 6, 7, 1, 8, 0]) 9]"
20,20,20,20,20,SS3IL.mp4,How many times did the Person looking_at the food?,10,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
21,21,21,21,21,WX8N8.mp4,How many times did the Person looking_at the blanket?,3,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 12,  0]) 9]"
22,22,22,22,22,XQVXF.mp4,How many times did the Person looking_at the table?,6,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
23,23,23,23,23,YQOCU.mp4,How many times did the Person looking_at the food?,8,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
24,24,24,24,24,QLGHA.mp4,How many times did the Person looking_at the food?,8,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
25,25,25,25,25,S591U.mp4,How many times did the Person looking_at the blanket?,8,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 12,  0]) 9]"
26,26,26,26,26,VFAE3.mp4,How many times did the Person looking_at the closet/cabinet?,2,"[array([2, 3, 4, 5, 1, 6, 7, 1, 8, 0]) 9]"
27,27,27,27,27,ONMCW.mp4,How many times did the Person looking_at the table?,3,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
28,28,28,28,28,X9M5B.mp4,How many times did the Person looking_at the sofa/couch?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 14,  0]) 9]"
29,29,29,29,29,VCYH8.mp4,How many times did the Person looking_at the doorway?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 18,  0]) 9]"
30,30,30,30,30,XXS99.mp4,How many times did the Person looking_at the blanket?,1,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 12,  0]) 9]"
31,31,31,31,31,PFKQ9.mp4,How many times did the Person looking_at the floor?,1,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 19,  0]) 9]"
32,32,32,32,32,N0ODO.mp4,How many times did the Person looking_at the doorway?,1,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 18,  0]) 9]"
33,33,33,33,33,SJ4QF.mp4,How many times did the Person looking_at the cup/glass/bottle?,2,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 15,  0]) 9]"
34,34,34,34,34,TRHT1.mp4,How many times did the Person looking_at the sofa/couch?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 14,  0]) 9]"
35,35,35,35,35,SW5TC.mp4,How many times did the Person looking_at the blanket?,1,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 12,  0]) 9]"
36,36,36,36,36,QLFR5.mp4,How many times did the Person looking_at the table?,1,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
37,37,37,37,37,UM5II.mp4,How many times did the Person looking_at the food?,8,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
38,38,38,38,38,WM6RQ.mp4,How many times did the Person looking_at the food?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
39,39,39,39,39,MLWB5.mp4,How many times did the Person looking_at the towel?,4,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 20,  0]) 9]"
40,40,40,40,40,OGLCO.mp4,How many times did the Person looking_at the food?,1,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
41,41,41,41,41,VW4UD.mp4,How many times did the Person looking_at the food?,14,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
42,42,42,42,42,OXCDM.mp4,How many times did the Person looking_at the box?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 21,  0]) 9]"
43,43,43,43,43,XTYDU.mp4,How many times did the Person looking_at the towel?,2,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 20,  0]) 9]"
44,44,44,44,44,TZ9FE.mp4,How many times did the Person looking_at the blanket?,1,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 12,  0]) 9]"
45,45,45,45,45,MZ3X9.mp4,How many times did the Person looking_at the broom?,6,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 16,  0]) 9]"
46,46,46,46,46,ODM20.mp4,How many times did the Person looking_at the table?,1,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
47,47,47,47,47,R55C1.mp4,How many times did the Person looking_at the table?,1,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
48,48,48,48,48,SKZUG.mp4,How many times did the Person looking_at the food?,5,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
49,49,49,49,49,NHH8N.mp4,How many times did the Person looking_at the sofa/couch?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 14,  0]) 9]"
50,50,50,50,50,SJ51G.mp4,How many times did the Person looking_at the blanket?,10,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 12,  0]) 9]"
51,51,51,51,51,QASDI.mp4,How many times did the Person looking_at the laptop?,7,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 10,  0]) 9]"
52,52,52,52,52,VJVHM.mp4,How many times did the Person looking_at the table?,5,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
53,53,53,53,53,PLJIZ.mp4,How many times did the Person looking_at the blanket?,6,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 12,  0]) 9]"
54,54,54,54,54,SVIXG.mp4,How many times did the Person looking_at the food?,5,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
55,55,55,55,55,Q7IQI.mp4,How many times did the Person looking_at the table?,0,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
56,56,56,56,56,QE4YE.mp4,How many times did the Person looking_at the table?,0,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
57,57,57,57,57,RQ3AK.mp4,How many times did the Person looking_at the pillow?,5,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 13,  0]) 9]"
58,58,58,58,58,RXCQR.mp4,How many times did the Person looking_at the clothes?,3,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 22,  0]) 9]"
59,59,59,59,59,XOWBN.mp4,How many times did the Person looking_at the table?,0,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
60,60,60,60,60,PUA7P.mp4,How many times did the Person looking_at the food?,12,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
61,61,61,61,61,PAS7F.mp4,How many times did the Person looking_at the box?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 21,  0]) 9]"
62,62,62,62,62,O76GM.mp4,How many times did the Person looking_at the food?,7,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
63,63,63,63,63,OHOFG.mp4,How many times did the Person looking_at the table?,0,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
64,64,64,64,64,ZI1GC.mp4,How many times did the Person looking_at the table?,0,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
65,65,65,65,65,PT4XS.mp4,How many times did the Person looking_at the food?,3,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
66,66,66,66,66,SUG5S.mp4,How many times did the Person looking_at the food?,1,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
67,67,67,67,67,SSPMK.mp4,How many times did the Person looking_at the sofa/couch?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 14,  0]) 9]"
68,68,68,68,68,U2AO1.mp4,How many times did the Person looking_at the food?,6,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
69,69,69,69,69,XMYXI.mp4,How many times did the Person looking_at the table?,0,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
70,70,70,70,70,MS4GA.mp4,How many times did the Person looking_at the broom?,3,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 16,  0]) 9]"
71,71,71,71,71,R971Z.mp4,How many times did the Person looking_at the closet/cabinet?,4,"[array([2, 3, 4, 5, 1, 6, 7, 1, 8, 0]) 9]"
72,72,72,72,72,OMFVL.mp4,How many times did the Person looking_at the doorknob?,1,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 23,  0]) 9]"
73,73,73,73,73,X3UEQ.mp4,How many times did the Person looking_at the table?,0,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
74,74,74,74,74,MLHCK.mp4,How many times did the Person looking_at the towel?,1,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 20,  0]) 9]"
75,75,75,75,75,RGTLB.mp4,How many times did the Person looking_at the table?,0,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
76,76,76,76,76,Y75AX.mp4,How many times did the Person looking_at the paper/notebook?,9,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 24,  0]) 9]"
77,77,77,77,77,U588C.mp4,How many times did the Person looking_at the food?,2,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
78,78,78,78,78,N5PLR.mp4,How many times did the Person looking_at the table?,0,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
79,79,79,79,79,UBCH6.mp4,How many times did the Person looking_at the cup/glass/bottle?,3,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 15,  0]) 9]"
80,80,80,80,80,QMHK8.mp4,How many times did the Person looking_at the doorway?,3,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 18,  0]) 9]"
81,81,81,81,81,X9LP4.mp4,How many times did the Person looking_at the vacuum?,1,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 25,  0]) 9]"
82,82,82,82,82,P6JGZ.mp4,How many times did the Person looking_at the table?,1,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
83,83,83,83,83,RXELU.mp4,How many times did the Person looking_at the doorway?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 18,  0]) 9]"
84,84,84,84,84,NTA1U.mp4,How many times did the Person looking_at the table?,0,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
85,85,85,85,85,PXVRF.mp4,How many times did the Person looking_at the phone/camera?,1,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 26,  0]) 9]"
86,86,86,86,86,OTIA2.mp4,How many times did the Person looking_at the table?,0,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
87,87,87,87,87,ZMY8M.mp4,How many times did the Person looking_at the food?,9,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
88,88,88,88,88,XO8NL.mp4,How many times did the Person looking_at the pillow?,1,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 13,  0]) 9]"
89,89,89,89,89,U33ZS.mp4,How many times did the Person looking_at the table?,1,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
90,90,90,90,90,W7EDM.mp4,How many times did the Person looking_at the food?,8,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
91,91,91,91,91,SH6MU.mp4,How many times did the Person looking_at the blanket?,2,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 12,  0]) 9]"
92,92,92,92,92,U5T4M.mp4,How many times did the Person looking_at the food?,8,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
93,93,93,93,93,TS2DM.mp4,How many times did the Person looking_at the doorway?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 18,  0]) 9]"
94,94,94,94,94,V2GC9.mp4,How many times did the Person looking_at the groceries?,7,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 27,  0]) 9]"
95,95,95,95,95,Q0IHP.mp4,How many times did the Person looking_at the food?,2,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
96,96,96,96,96,YACA8.mp4,How many times did the Person looking_at the clothes?,3,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 22,  0]) 9]"
97,97,97,97,97,SY5QP.mp4,How many times did the Person looking_at the food?,5,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
98,98,98,98,98,OVFVJ.mp4,How many times did the Person looking_at the blanket?,6,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 12,  0]) 9]"
99,99,99,99,99,ZB5J4.mp4,How many times did the Person looking_at the food?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
100,100,100,100,100,OGX19.mp4,How many times did the Person looking_at the chair?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 28,  0]) 9]"
101,101,101,101,101,Y80PJ.mp4,How many times did the Person looking_at the food?,7,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
102,102,102,102,102,NO1GJ.mp4,How many times did the Person looking_at the towel?,6,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 20,  0]) 9]"
103,103,103,103,103,WX711.mp4,How many times did the Person looking_at the sofa/couch?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 14,  0]) 9]"
104,104,104,104,104,PTAZ9.mp4,How many times did the Person looking_at the food?,3,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
105,105,105,105,105,MPN7K.mp4,How many times did the Person looking_at the sofa/couch?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 14,  0]) 9]"
106,106,106,106,106,YLEEO.mp4,How many times did the Person looking_at the food?,2,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
107,107,107,107,107,PBEUF.mp4,How many times did the Person looking_at the table?,0,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
108,108,108,108,108,T42IZ.mp4,How many times did the Person looking_at the food?,4,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
109,109,109,109,109,VXZBA.mp4,How many times did the Person looking_at the sofa/couch?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 14,  0]) 9]"
110,110,110,110,110,UEVVN.mp4,How many times did the Person looking_at the doorknob?,1,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 23,  0]) 9]"
111,111,111,111,111,RPY8D.mp4,How many times did the Person looking_at the sofa/couch?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 14,  0]) 9]"
112,112,112,112,112,PXY5Q.mp4,How many times did the Person looking_at the table?,0,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
113,113,113,113,113,V6H2O.mp4,How many times did the Person looking_at the doorway?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 18,  0]) 9]"
114,114,114,114,114,QD1U7.mp4,How many times did the Person looking_at the table?,2,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
115,115,115,115,115,RGNQD.mp4,How many times did the Person looking_at the food?,2,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
116,116,116,116,116,U08M9.mp4,How many times did the Person looking_at the closet/cabinet?,2,"[array([2, 3, 4, 5, 1, 6, 7, 1, 8, 0]) 9]"
117,117,117,117,117,ZF7YA.mp4,How many times did the Person looking_at the doorknob?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 23,  0]) 9]"
118,118,118,118,118,X817Z.mp4,How many times did the Person looking_at the food?,7,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
119,119,119,119,119,PZ0ND.mp4,How many times did the Person looking_at the clothes?,3,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 22,  0]) 9]"
120,120,120,120,120,SB8G0.mp4,How many times did the Person looking_at the food?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
121,121,121,121,121,QZZPS.mp4,How many times did the Person looking_at the food?,3,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
122,122,122,122,122,QMIKJ.mp4,How many times did the Person looking_at the table?,1,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
123,123,123,123,123,NACLT.mp4,How many times did the Person looking_at the doorway?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 18,  0]) 9]"
124,124,124,124,124,U7AAB.mp4,How many times did the Person looking_at the table?,0,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
125,125,125,125,125,OPMF7.mp4,How many times did the Person looking_at the clothes?,1,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 22,  0]) 9]"
126,126,126,126,126,SR8IK.mp4,How many times did the Person looking_at the table?,0,"[array([2, 3, 4, 5, 1, 6, 7, 1, 9, 0]) 9]"
127,127,127,127,127,TR652.mp4,How many times did the Person looking_at the blanket?,5,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 12,  0]) 9]"
128,128,128,128,128,WZDXS.mp4,How many times did the Person looking_at the food?,4,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
129,129,129,129,129,OQSXX.mp4,How many times did the Person looking_at the sofa/couch?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 14,  0]) 9]"
130,130,130,130,130,N86ED.mp4,How many times did the Person looking_at the food?,6,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 11,  0]) 9]"
131,131,131,131,131,TTVN5.mp4,How many times did the Person looking_at the sofa/couch?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 14,  0]) 9]"
132,132,132,132,132,REMG0.mp4,How many times did the Person looking_at the mirror?,1,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 29,  0]) 9]"
133,133,133,133,133,POACA.mp4,How many times did the Person looking_at the sofa/couch?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 14,  0]) 9]"
134,134,134,134,134,PSAVM.mp4,How many times did the Person looking_at the clothes?,1,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 22,  0]) 9]"
135,135,135,135,135,RPXAC.mp4,How many times did the Person looking_at the clothes?,4,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 22,  0]) 9]"
136,136,136,136,136,UO4X0.mp4,How many times did the Person looking_at the pillow?,3,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 13,  0]) 9]"
137,137,137,137,137,RUKXT.mp4,How many times did the Person looking_at the floor?,3,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 19,  0]) 9]"
138,138,138,138,138,WTIQ3.mp4,How many times did the Person looking_at the groceries?,0,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 27,  0]) 9]"
139,139,139,139,139,SLHDI.mp4,How many times did the Person looking_at the groceries?,3,"[array([ 2,  3,  4,  5,  1,  6,  7,  1, 27,  0]) 9]"
